Date,Close
2024-11-22,"2,1836"
2024-11-21,"2,2541"
2024-11-20,"2,2711"
2024-11-19,"2,254"
2024-11-18,"2,2527"
2024-11-15,"2,2097"
2024-11-14,"2,2024"
2024-11-13,"2,2947"
2024-11-12,"2,2788"
2024-11-11,"2,232"
2024-11-08,"2,2795"
2024-11-07,"2,3168"
2024-11-06,"2,308"
2024-11-05,"2,4279"
2024-11-04,"2,3812"
2024-11-01,"2,3601"
2024-10-31,"2,3682"
2024-10-30,"2,3837"
2024-10-29,"2,2875"
2024-10-28,"2,2746"
2024-10-25,"2,2921"
2024-10-24,"2,268"
2024-10-23,"2,3097"
2024-10-22,"2,3401"
2024-10-21,"2,3088"
2024-10-18,"2,2381"
2024-10-17,"2,2665"
2024-10-16,"2,2794"
2024-10-15,"2,3228"
2024-10-14,"2,3725"
2024-10-11,"2,3693"
2024-10-10,"2,3782"
2024-10-09,"2,4093"
2024-10-08,"2,3841"
2024-10-07,"2,4141"
2024-10-04,"2,3458"
2024-10-03,"2,2532"
2024-10-02,"2,2095"
2024-10-01,"2,1486"
2024-09-30,"2,2166"
2024-09-27,"2,2261"
2024-09-26,"2,2907"
2024-09-25,"2,2799"
2024-09-24,"2,2583"
2024-09-23,"2,279"
2024-09-20,"2,3348"
2024-09-19,"2,3449"
2024-09-18,"2,3611"
2024-09-17,"2,3257"
2024-09-16,"2,2844"
2024-09-13,"2,3106"
2024-09-12,"2,3383"
2024-09-11,"2,284"
2024-09-10,"2,3111"
2024-09-09,"2,3388"
2024-09-06,"2,3794"
2024-09-05,"2,3951"
2024-09-04,"2,4164"
2024-09-03,"2,4642"
2024-09-02,"2,5114"
2024-08-30,"2,4935"
2024-08-29,"2,4671"
2024-08-28,"2,4688"
2024-08-27,"2,4829"
2024-08-26,"2,4785"
2024-08-23,"2,4518"
2024-08-22,"2,4837"
2024-08-21,"2,4168"
2024-08-20,"2,4526"
2024-08-19,"2,489"
2024-08-16,"2,4936"
2024-08-15,"2,5093"
2024-08-14,"2,4269"
2024-08-13,"2,4359"
2024-08-12,"2,479"
2024-08-09,"2,4878"
2024-08-08,"2,5218"
2024-08-07,"2,5228"
2024-08-06,"2,4889"
2024-08-05,"2,503"
2024-08-02,"2,4781"
2024-08-01,"2,5213"
2024-07-31,"2,5788"
2024-07-30,"2,6131"
2024-07-29,"2,6447"
2024-07-26,"2,6772"
2024-07-25,"2,707"
2024-07-24,"2,7185"
2024-07-23,"2,7304"
2024-07-22,"2,7848"
2024-07-19,"2,7495"
2024-07-18,"2,7205"
2024-07-17,"2,7215"
2024-07-16,"2,7172"
2024-07-15,"2,7628"
2024-07-12,"2,7905"
2024-07-11,"2,7687"
2024-07-10,"2,8367"
2024-07-09,"2,8694"
2024-07-08,"2,8448"
2024-07-05,"2,8603"
2024-07-04,"2,9115"
2024-07-03,"2,8819"
2024-07-02,"2,9153"
2024-07-01,"2,9356"
2024-06-28,"2,883"
2024-06-27,"2,8519"
2024-06-26,"2,8526"
2024-06-25,"2,8228"
2024-06-24,"2,8223"
2024-06-21,"2,8142"
2024-06-20,"2,8386"
2024-06-19,"2,821"
2024-06-18,"2,8001"
2024-06-17,"2,821"
2024-06-14,"2,8"
2024-06-13,"2,8573"
2024-06-12,"2,8893"
2024-06-11,"2,9974"
2024-06-10,"3,0265"
2024-06-07,"2,9652"
2024-06-06,"2,8985"
2024-06-05,"2,8628"
2024-06-04,"2,8755"
2024-06-03,"2,9257"
2024-05-31,"3,016"
2024-05-30,"2,9892"
2024-05-29,"3,0319"
2024-05-28,"2,9586"
2024-05-27,"2,9291"
2024-05-24,"2,9623"
2024-05-23,"2,9642"
2024-05-22,"2,9122"
2024-05-21,"2,8731"
2024-05-20,"2,9058"
2024-05-17,"2,8936"
2024-05-16,"2,8374"
2024-05-15,"2,7943"
2024-05-14,"2,9049"
2024-05-13,"2,8726"
2024-05-10,"2,8971"
2024-05-09,"2,8657"
2024-05-08,"2,8512"
2024-05-07,"2,8144"
2024-05-06,"2,8455"
2024-05-03,"2,8701"
2024-05-02,"2,9228"
2024-05-01,
2024-04-30,"2,9719"
2024-04-29,"2,9048"
2024-04-26,"2,9467"
2024-04-25,"2,9993"
2024-04-24,"2,9628"
2024-04-23,"2,888"
2024-04-22,"2,8794"
2024-04-19,"2,9108"
2024-04-18,"2,9013"
2024-04-17,"2,8549"
2024-04-16,"2,8893"
2024-04-15,"2,8209"
2024-04-12,"2,7548"
2024-04-11,"2,8538"
2024-04-10,"2,8147"
2024-04-09,"2,7424"
2024-04-08,"2,7942"
2024-04-05,"2,7479"
2024-04-04,"2,7123"
2024-04-03,"2,7139"
2024-04-02,"2,7244"
2024-04-01,
2024-03-28,"2,6758"
2024-03-27,"2,6668"
2024-03-26,"2,7171"
2024-03-25,"2,7306"
2024-03-22,"2,6915"
2024-03-21,"2,7578"
2024-03-20,"2,792"
2024-03-19,"2,7948"
2024-03-18,"2,8111"
2024-03-15,"2,7927"
2024-03-14,"2,7786"
2024-03-13,"2,7066"
2024-03-12,"2,6727"
2024-03-11,"2,6485"
2024-03-08,"2,6154"
2024-03-07,"2,692"
2024-03-06,"2,715"
2024-03-05,"2,7129"
2024-03-04,"2,7808"
2024-03-01,"2,7899"
2024-02-29,"2,8051"
2024-02-28,"2,8438"
2024-02-27,"2,8573"
2024-02-26,"2,8431"
2024-02-23,"2,7611"
2024-02-22,"2,8415"
2024-02-21,"2,8216"
2024-02-20,"2,7561"
2024-02-19,"2,7924"
2024-02-16,"2,7994"
2024-02-15,"2,7365"
2024-02-14,"2,7183"
2024-02-13,"2,7862"
2024-02-12,"2,731"
2024-02-09,"2,7691"
2024-02-08,"2,7347"
2024-02-07,"2,6903"
2024-02-06,"2,658"
2024-02-05,"2,6817"
2024-02-02,"2,6171"
2024-02-01,"2,5273"
2024-01-31,"2,5148"
2024-01-30,"2,6032"
2024-01-29,"2,5719"
2024-01-26,"2,6277"
2024-01-25,"2,6274"
2024-01-24,"2,6906"
2024-01-23,"2,7174"
2024-01-22,"2,6749"
2024-01-19,"2,7079"
